step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
67,PAYMENT,9124.97,C613651649,14903.11,5778.14,C402001927,2005.11,9137.17,0,0
576,TRANSFER,3512.41,C244435962,10428.69,6916.28,C216933387,151688.11,154723.2,0,0
487,CASH_OUT,1305.94,C910138860,657.06,0.0,C254855969,5946.44,7191.17,0,0
327,CASH_OUT,828.92,C811584516,7628.0,6799.08,C867415582,13047.38,13753.58,0,0
322,PAYMENT,7425.9,C468883219,23327.51,15901.61,C518061581,29091.72,34422.62,0,0
638,CASH_OUT,3504.99,C599013729,183142.08,179637.09,C422242910,5425.82,8013.05,0,0
64,PAYMENT,2358.8,C967537555,31314.41,28955.61,C476988408,521211.87,523129.06,0,0
519,CASH_OUT,131237.12,C123196830,72353.88,0.0,C973567812,904.45,105469.23,0,0
150,CASH_IN,6987.05,C231147785,2178.39,0.0,C542116806,1650.89,7002.3,0,0
70,PAYMENT,79704.18,C640285329,11045.37,0.0,C522059257,900.47,76781.93,0,0
392,CASH_IN,3103.07,C997922175,83376.32,80273.25,C935185059,81861.57,84058.74,0,0
725,CASH_IN,12589.23,C765911791,3527.69,0.0,C133554292,20821.77,32766.47,0,0
547,PAYMENT,7333.02,C656187508,56830.81,49497.79,C530491947,1845.54,9006.26,0,0
566,PAYMENT,381.56,C390701655,40133.91,39752.35,C773406193,1037.97,1377.19,0,0
534,PAYMENT,105980.35,C495444009,20172.7,0.0,C563163693,59444.77,153513.47,0,0
585,CASH_OUT,6353.26,C134535745,8159.56,1806.3,C881405849,9424.22,14155.53,0,0
382,CASH_IN,31056.17,C434014800,3042.87,0.0,C402641752,62239.95,89274.2,0,0
96,TRANSFER,2092.99,C661122055,191581.57,189488.58,C835982194,4410.45,6111.11,0,0
624,CASH_IN,6022.63,C915155407,34468.25,28445.62,C319576729,12342.0,16971.69,0,0
335,CASH_IN,1702.18,C930181347,22268.41,20566.23,C979725012,8437.23,9926.64,0,0
372,CASH_OUT,74966.55,C839072627,7192.01,0.0,C111633359,1598.15,54101.51,0,0
276,CASH_OUT,14193.46,C119348452,14140.63,0.0,C417831661,3791.59,14903.99,0,0
136,PAYMENT,15688.71,C830067209,17104.14,1415.43,C666549632,583.04,14652.87,0,0
689,PAYMENT,93407.92,C296756122,24338.47,0.0,C860364841,11960.83,90097.69,0,0
581,PAYMENT,64952.68,C654578625,40195.5,0.0,C326427318,19346.13,67650.93,0,0
479,CASH_IN,32132.28,C951749573,4131.07,0.0,C597565101,29210.69,51715.99,0,0
299,CASH_OUT,626.97,C899160924,1480.45,853.48,C290059227,16314.03,16803.78,0,0
612,CASH_OUT,2316.42,C697969787,15160.09,12843.67,C256201855,3901.91,5904.96,0,0
406,CASH_IN,1330.09,C369350534,971.82,0.0,C767219581,80301.79,81446.15,0,0
330,CASH_OUT,30018.25,C568795067,8221.5,0.0,C282435560,24493.31,46686.45,0,0
335,CASH_OUT,11016.77,C733335521,6224.29,0.0,C702585354,59837.23,69577.26,0,0
169,CASH_IN,663.2,C562790260,27934.63,27271.43,C411068372,66991.17,67654.16,0,0
69,CASH_OUT,5769.04,C462558391,261423.13,255654.09,C608529283,3920.29,8970.85,0,0
413,PAYMENT,550.37,C639998927,722.79,172.42,C886501285,9879.16,10351.54,0,0
660,CASH_IN,7363.7,C132205800,404852.28,397488.58,C877002556,19815.45,26345.51,0,0
48,CASH_OUT,411.71,C998337700,9418.09,9006.38,C110111818,621.13,1017.98,0,0
638,PAYMENT,20991.85,C191858657,22509.96,1518.11,C805818117,646.42,21298.2,0,0
615,PAYMENT,15999.82,C986072302,1599.99,0.0,C960079605,474.02,11870.85,0,0
206,PAYMENT,251276.02,C131838241,59593.83,0.0,C672524905,4045.74,195391.96,0,0
470,CASH_OUT,37278.5,C561357114,14217.21,0.0,C695982370,2697.36,30086.96,0,0
123,PAYMENT,3784.82,C475823903,12183.03,8398.21,C485942056,370.85,3897.19,0,0
564,CASH_OUT,35331.36,C616477106,730.64,0.0,C572648270,6430.74,31645.63,0,0
521,CASH_OUT,654.72,C987072141,14923.54,14268.82,C686670904,4137.66,4773.26,0,0
264,CASH_IN,1433.03,C720492157,47512.23,46079.2,C796216440,41275.83,42287.79,0,0
51,CASH_OUT,14759.71,C800747022,9372.94,0.0,C738640413,184123.56,197123.38,0,0
722,CASH_OUT,166.53,C225825268,77753.51,77586.98,C372808756,11176.97,11307.31,0,0
332,CASH_OUT,7578.8,C390375760,73082.39,65503.59,C649445033,1402.57,7777.62,0,0
664,PAYMENT,1291.46,C804661813,5106.95,3815.49,C780871217,15742.26,16817.49,0,0
504,CASH_OUT,9724.0,C906906105,146191.22,136467.22,C540982505,4997.76,13989.23,0,0
579,CASH_OUT,1164.53,C484716342,14298.97,13134.44,C743505077,3189.99,4178.67,0,0
565,CASH_IN,17389.93,C791517255,14394.74,0.0,C213995218,1042.23,15412.68,0,0
145,CASH_OUT,8389.95,C153603920,15498.09,7108.14,C447617827,2131.12,9842.18,0,0
271,CASH_OUT,100776.32,C768009763,14823.57,0.0,C731735909,3568.77,102102.02,0,0
347,CASH_OUT,8201.91,C189403199,258.48,0.0,C905598453,20897.26,28592.1,0,0
370,CASH_OUT,2031.32,C701130907,10114.65,8083.33,C681398713,12330.68,14201.56,0,0
33,PAYMENT,5195.8,C443933933,1726.9,0.0,C697307760,131404.69,135801.98,0,0
407,PAYMENT,720.81,C473737464,153200.62,152479.81,C408023583,16544.49,17243.72,0,0
115,CASH_OUT,16832.17,C348718081,144224.23,127392.06,C420690849,10548.41,24786.64,0,0
553,PAYMENT,23429.01,C462917188,47949.68,24520.67,C146852334,2832.13,25771.14,0,0
508,PAYMENT,690073.14,C886974974,9342.22,0.0,C322050145,759.43,650033.15,0,0
686,TRANSFER,2645.71,C828039238,2945.33,299.62,C650090706,1761.98,3733.24,0,0
554,PAYMENT,5003.88,C364402262,4982.21,0.0,C965723730,1394.5,4967.76,0,0
